date_time,Twitter,Netflix,DailyMotion,Google,Deezer
2019-05-01 17:48:00,369803409.60599977,1232617182.4916112,264730843.14834103,861752988.7420053,449717559.7002825
2019-05-01 17:54:00,470472016.55439836,929166114.3610039,223663355.54276705,1344077625.5005183,460909267.1039495
2019-05-01 18:00:00,486632097.2494242,1072540917.0389025,165940608.23056847,1288528100.679534,758192879.8885605
2019-05-01 18:06:00,478322245.66162413,954300975.5131838,158338207.297067,1251983039.7928476,610729882.1430267
2019-05-01 18:12:00,450251075.7127125,1302400740.9955275,122653885.13248879,1218798812.8696148,381540302.7813741
2019-05-01 18:18:00,418271311.2627079,1306277050.1868482,97771756.80210918,1259658455.1075306,192315482.1644711
2019-05-01 18:24:00,441574348.0612373,793799445.9261727,154795729.60125723,1496754783.9259021,648248012.6027089
2019-05-01 18:30:00,423130976.0044549,1455168338.3693953,273905007.15575314,1141957051.8269856,813569787.485967
2019-05-01 18:36:00,454447242.4289208,919914432.8102072,374437150.4621677,1024950463.1893601,656388823.2250334
2019-05-01 18:42:00,360343467.7144322,2018037654.1745255,185830059.98105484,1180903773.9241223,601575785.607349
2019-05-01 18:48:00,316416916.24564266,1013176711.2037439,229401748.79246992,972181479.0350277,397969182.9717168
2019-05-01 18:54:00,341372849.7448268,1332680044.971261,158971509.831367,765664509.7463981,381734391.06417423
2019-05-01 19:00:00,406296162.2725035,752076565.909746,170734253.91459092,1271361576.4789615,279321482.73828703
2019-05-01 19:06:00,515777092.6256845,1021390699.4846348,49375013.67018358,1320213833.1065102,397626009.80854285
2019-05-01 19:12:00,439657966.3296825,985553880.8800164,68439108.85299231,639852194.4346657,270190081.56658363
2019-05-01 19:18:00,442736449.863961,1044923544.7218302,31608719.887351826,809884553.7725415,274542839.76278645
2019-05-01 19:24:00,503529145.21263367,1174647745.17116,38655026.95458617,813638591.2839892,305915635.58022314
2019-05-01 19:30:00,495553461.47474855,1291009200.0095446,150699365.96833453,519942719.7943368,391590862.2328177
2019-05-01 19:36:00,322694750.3536715,2273443319.597437,62605700.52973127,375483046.9509379,481223898.825421
2019-05-01 19:42:00,402267721.1982463,2145852882.6590805,87493820.65413806,764251550.950347,577874048.3005543
2019-05-01 19:48:00,415692874.7226585,1943460063.025927,50159379.93691465,720535233.3058575,282580903.19587034
2019-05-01 19:54:00,400013429.2374774,1767140399.9084358,114372759.80739208,578125018.1850972,565830208.7189593
2019-05-01 20:00:00,435407829.9755948,1462376295.9998245,36263682.41987734,515145204.77555484,447618892.65290487
2019-05-01 20:06:00,358930714.2809556,1510928698.358403,88428159.30592827,704443537.5080626,350559445.4994766
2019-05-01 20:12:00,429449167.84908664,1530048527.82456,65148347.94505761,683470583.5370271,279710036.7113104
2019-05-01 20:18:00,398163267.72783667,2175716173.516389,115452680.68905109,793572071.1999776,343833389.2897232
2019-05-01 20:24:00,413196132.50041646,1653091048.1340733,89194325.27841163,1797834706.3351128,314374821.5644517
2019-05-01 20:30:00,417533705.0789167,1249848763.6224627,179156303.1241979,794207311.1388478,382382306.3574909
2019-05-01 20:36:00,591538149.1612643,1405544818.099192,282472339.9890654,681219871.3650234,450134494.69220895
2019-05-01 20:42:00,639719509.5147264,2432171543.744823,61272578.27952854,888252680.6342506,841750685.0590469
2019-05-01 20:48:00,443224487.7898231,2110297158.2067468,112654829.9313214,548488347.6544195,878493403.1547613
2019-05-01 20:54:00,385402234.88177496,1455690045.7440238,58700275.65426681,1668077941.7752938,371397734.92546636
2019-05-01 21:00:00,425952692.99754375,1900543336.7137809,110915248.18254788,1937146594.5647974,364994298.0547629
2019-05-01 21:06:00,379896138.2813344,2544239817.9979486,385561109.639732,1092631989.3182483,368928397.987474
2019-05-01 21:12:00,352914131.07469285,2342992121.567117,74489679.79560287,839726165.8947449,119856521.70265019
2019-05-01 21:18:00,509154003.1683252,2305150855.5337877,239593139.4366025,870909812.5132699,176397005.85157162
2019-05-01 21:24:00,549812561.3633677,1987006885.6452305,458635015.21608,803328433.3591689,193748600.03052208
2019-05-01 21:30:00,460734438.279904,1716836525.5217474,740105323.3953534,673891234.8806069,167857660.98488456
2019-05-01 21:36:00,658424912.2300386,1788905889.1829882,637754167.2000259,824628226.0929294,115016860.71121016
2019-05-01 21:42:00,508470089.5057837,1625021829.2786055,628691021.4141668,1017147742.0109301,163076042.25859252
2019-05-01 21:48:00,503831735.0720333,1637090248.668967,804572013.5509675,824880709.7055204,81850955.48477495
2019-05-01 21:54:00,606764851.170537,2103982793.8413577,544877904.9704598,991579084.6234787,177276368.78207433
2019-05-01 22:00:00,488137808.40893054,1757255765.9927385,243701386.52326703,884542214.2906181,130945585.183202
2019-05-01 22:06:00,419332294.66186804,1432773406.112626,344270481.02532464,917243256.713512,403225887.22279066
2019-05-01 22:12:00,434959120.98959655,1368520408.5657473,133510722.98594888,823285100.8874215,404317401.55127317
2019-05-01 22:18:00,462294920.5564377,1723619614.767734,42698777.97785899,1262569116.5698607,505876552.62096643
2019-05-01 22:24:00,609708757.84148,1421780943.9909256,31410507.64168349,1374639485.9863458,397352554.304629
2019-05-01 22:30:00,546837345.4193096,1208100301.1920054,389580799.33450216,962690224.1878015,319701204.5374188
2019-05-01 22:36:00,557535930.8404193,1448059412.3537376,428307592.8334044,813149018.6651057,282138160.9638565
2019-05-01 22:42:00,600138915.9217209,1566070761.0485046,389220475.947116,616096143.6481882,224273262.25747618
2019-05-01 22:48:00,641269299.1598463,1559864567.758559,354989042.11802167,673094131.5838418,261241948.63824183
2019-05-01 22:54:00,515496063.836372,1577756276.6866224,424846745.7285658,680978146.903289,154071493.09943587
2019-05-01 23:00:00,610597826.1304853,1614890962.8244221,521534468.67630064,619488360.658,228313540.45884916
2019-05-01 23:06:00,654473489.122075,1532580691.0596044,397432235.4960072,680329899.6381351,242652708.30873275
2019-05-01 23:12:00,788356095.2900264,3008186519.9229856,468197688.280254,774415217.1866617,220626509.43222964
2019-05-01 23:18:00,513464835.59719133,2113404353.2769074,386784989.7826931,543826343.9125415,170149734.65239778
2019-05-01 23:24:00,620586626.8234174,2010308443.5187433,276041018.80959123,593671852.4500855,110402369.6981606
2019-05-01 23:30:00,423724819.31462085,1760144361.6144786,64937991.42834435,680951282.0939654,176304940.06798762
2019-05-01 23:36:00,491211270.31716484,1816395316.4112704,196028765.94309464,331440145.54646325,256244045.94882825
2019-05-01 23:42:00,470109475.6702328,1400478985.6501026,378920940.97812986,521155215.9375591,166200636.39082143
2019-05-01 23:48:00,399544171.2420436,1339356852.9057508,16479957.778831873,459352164.6133373,53602852.11277807
2019-05-01 23:54:00,272851624.4099592,623111376.8100786,40034676.82701612,356348968.1801834,60414938.25420277
2019-05-02 01:00:00,220538981.3900817,828658835.5978128,86807724.78694782,228684570.34557405,27918307.099982657
2019-05-02 01:06:00,223902716.92588577,828339216.4111854,78446999.16133851,116422474.51972501,21136319.47046521
2019-05-02 01:12:00,152113076.18511543,896229021.3970146,44021359.89403866,170498765.88423318,17548389.045013066
2019-05-02 01:18:00,128389216.01028503,720737187.0273378,43119363.69190136,300714612.4515065,15373803.209363725
2019-05-02 01:24:00,144374145.6077764,623603838.7142859,48183654.3053974,233562435.742549,11021039.359889137
2019-05-02 01:30:00,164285616.98778015,976145166.554232,43903974.70139359,87390629.82504733,2791497.3419017456
2019-05-02 01:36:00,194161245.71783617,620195256.7862189,17695237.57337124,125777003.06704614,10089316.185394676
2019-05-02 01:42:00,163426551.3074328,741766290.3230393,98581901.02919096,53831602.135358304,8848958.561148401
2019-05-02 01:48:00,231452332.73816168,491223260.2169884,154781227.02823296,45369659.091294505,18986280.76008447
2019-05-02 01:54:00,195355050.3715709,422547522.435954,100129836.6504606,52660422.970163345,7372710.9628809225
2019-05-02 02:00:00,87530289.37532523,339933697.010188,135847462.26621675,42697696.8684957,23781428.47170017
2019-05-02 02:06:00,43237013.446622826,565708296.8342713,139236701.81026644,105601014.96032298,8088676.23067115
2019-05-02 02:12:00,84705676.7326692,303290389.310472,121589188.75236076,132237604.37534034,4339218.4111616565
2019-05-02 02:18:00,103250193.28279334,228704874.02435312,119766896.31080219,47321368.219535775,3920246.016850725
2019-05-02 02:24:00,79100322.37298095,408702432.9075689,105393197.549037,324885033.314483,13968665.938033756
2019-05-02 02:30:00,58688912.1675508,515005823.4538789,107489699.89414409,101502355.86665282,6407977.226818216
2019-05-02 02:36:00,43144991.07974422,467950715.596194,109028939.63901716,102943908.6055269,7107281.573637886
2019-05-02 02:42:00,82588811.14425138,374208147.32321066,109243818.00928958,90003151.41364813,15160318.945758015
2019-05-02 02:48:00,71695422.96008864,272095999.51027554,111939565.00356156,222546103.36000454,16560481.82567118
2019-05-02 02:54:00,77712950.65027478,281134365.1886357,114666940.20855264,75306543.5288482,25985118.266554285
2019-05-02 03:00:00,75116919.65625075,424932042.09599465,96467334.31540889,53414735.26526385,54071824.81392151
2019-05-02 03:06:00,112472624.32724954,276422648.1429126,2721283.7905979343,43737887.48623516,11865526.138545075
2019-05-02 03:12:00,133368641.76245072,244375911.2323753,4095398.548764687,75179707.4850789,12032677.79831395
2019-05-02 03:18:00,45259530.24178696,176372562.76892018,30936968.974047624,40369048.92842433,11823590.467352305
2019-05-02 03:24:00,78446401.70016271,155385002.39299506,3790841.4729742114,28857608.460607946,23930787.621511124
2019-05-02 03:30:00,137310705.14653534,113761943.12549476,1455627.6815845692,28503190.47122431,14679081.24239798
2019-05-02 03:36:00,230358804.62987402,48586203.77904648,1836568.2985235644,153155748.50783917,30982047.68334484
2019-05-02 03:42:00,56956132.91305688,166456473.56241432,1882212.4486959118,131201951.38865063,6069983.00928776
2019-05-02 03:48:00,32961231.575101744,153409723.489372,3864650.691320395,93947656.18169314,4816895.805256577
2019-05-02 03:54:00,30497255.55877073,113080454.9988992,37578510.72117988,69297196.1000365,4816895.805256577
2019-05-02 04:00:00,40712309.18766068,94383867.13769528,4185396.94648809,48856871.8600883,4816895.805256577
2019-05-02 04:06:00,38556463.14059643,107205432.5729588,4392157.528877676,47727106.850485966,3563808.6012253943
2019-05-02 04:12:00,72351651.81933562,72890893.16990125,3397064.7521105567,54709307.21285066,7861964.938197844
2019-05-02 04:18:00,103725796.5577798,52948012.64868397,12901880.581493216,257678162.59533077,14171118.402030822
2019-05-02 04:24:00,76829217.06750911,43476132.07783493,19871628.22437728,92847866.5326963,5126893.430009246
2019-05-02 04:30:00,42328792.2927299,203830515.45832464,48746574.57065204,44297134.84494734,2890864.302373213
2019-05-02 04:36:00,38761845.21610342,104151192.1220714,60810196.09125441,553213165.1993243,17603130.68959731
2019-05-02 04:42:00,53616543.70793922,78870429.9156644,48426030.6263838,315599798.7234564,14283195.169268698
2019-05-02 04:48:00,49554898.63335298,13474586.475440405,8251913.127586218,31453965.352530684,83698264.80774601
2019-05-02 04:54:00,46561732.58379047,28856102.00426049,6749496.221941828,159467811.1924271,72426648.36153021
2019-05-02 05:00:00,40448165.77736002,75602764.66945262,30838017.06392308,111270834.11154687,100897308.25698432
2019-05-02 05:06:00,61731649.90956883,99614250.57752834,4964623.611248423,29465027.077402063,97943683.52394174
2019-05-02 05:12:00,43962456.58484631,110003023.732847,3886542.378511425,24706355.587731324,65053683.52835977
